id,name,dt,color,operator,altRelGEO,lon
21639,TDRS 5,1260,blue,US,-73.93765793966304,192.53804860661833
21639,TDRS 5,1439,blue,US,8.207683330336295,193.89552415180847
22314,TDRS 6,0,blue,US,30.970835564636218,313.4514342912402
22314,TDRS 6,180,blue,US,37.22889817993564,314.2779686776944
22314,TDRS 6,360,blue,US,21.814906374551356,315.0467598807368
22314,TDRS 6,540,blue,US,-6.240535948316392,314.12325731820783
22314,TDRS 6,720,blue,US,-30.447636057113414,313.33271810089593
22314,TDRS 6,900,blue,US,-36.49508544422133,314.32778816694037
22314,TDRS 6,1080,blue,US,-20.782312583622115,315.2102251932395
22314,TDRS 6,1260,blue,US,7.39203130651731,314.3000756815311
22314,TDRS 6,1439,blue,US,31.32171057769301,313.4458670387241
22787,UFO 2 (USA 95),0,blue,US,21.443540591862984,29.537820050793865
22787,UFO 2 (USA 95),180,blue,US,15.639239378746424,29.3071090955097
22787,UFO 2 (USA 95),360,blue,US,2.191289616879658,28.521715991956963
22787,UFO 2 (USA 95),540,blue,US,-10.995536839087436,28.720249772959757
22787,UFO 2 (USA 95),720,blue,US,-16.1432183312063,29.528222954940738
22787,UFO 2 (USA 95),900,blue,US,-10.23072327412956,29.355061626801547
22787,UFO 2 (USA 95),1080,blue,US,3.226355679340486,28.6010679494892
22787,UFO 2 (USA 95),1260,blue,US,16.297005638713017,28.78265779106552
22787,UFO 2 (USA 95),1439,blue,US,21.306601169737405,29.510563516005778
22988,USA 99 (MILSTAR-1 1),0,blue,US,38.7370617830602,292.27359215822025
22988,USA 99 (MILSTAR-1 1),180,blue,US,44.63587050951173,291.0201922046563
22988,USA 99 (MILSTAR-1 1),360,blue,US,48.05921433604817,291.319514783738
22988,USA 99 (MILSTAR-1 1),540,blue,US,47.03549393021967,292.4450086912079
22988,USA 99 (MILSTAR-1 1),720,blue,US,42.16257546664565,291.9671113001623
22988,USA 99 (MILSTAR-1 1),900,blue,US,36.27739083281631,290.7216881471646
22988,USA 99 (MILSTAR-1 1),1080,blue,US,32.852927468309645,291.05678598033495
22988,USA 99 (MILSTAR-1 1),1260,blue,US,33.938333406011225,292.21135349858287
22988,USA 99 (MILSTAR-1 1),1439,blue,US,38.85960675087699,291.7479358060566
23331,ASTRA 1D,0,gray,Other,1.933190128824208,287.09959377605196
23331,ASTRA 1D,180,gray,Other,11.737716434428876,286.61659636829694
23331,ASTRA 1D,360,gray,Other,14.026269230394973,286.8124737305508
23331,ASTRA 1D,540,gray,Other,7.47270065680641,287.2559207489375
23331,ASTRA 1D,720,gray,Other,-4.068405848513066,287.01966097481454
23331,ASTRA 1D,900,gray,Other,-13.80923778838769,286.57538778247186
23331,ASTRA 1D,1080,gray,Other,-15.997060051115113,286.8421935890575
23331,ASTRA 1D,1260,gray,Other,-9.3235094177071,287.33445447536974
23331,ASTRA 1D,1439,gray,Other,2.2115520087099867,287.1037746774464
23435,USA 107 (DSP 17),0,blue,US,-0.9498758229237865,263.7018408755024
23435,USA 107 (DSP 17),180,blue,US,8.439147643635806,262.6751855808712
23435,USA 107 (DSP 17),360,blue,US,12.786140300078841,263.4977923848692
23435,USA 107 (DSP 17),540,blue,US,9.563052773795789,264.4894474509267
23435,USA 107 (DSP 17),720,blue,US,0.6462318749909173,263.61836975508174
23435,USA 107 (DSP 17),900,blue,US,-8.740720961890474,262.62154424818
23435,USA 107 (DSP 17),1080,blue,US,-13.045198943989817,263.51039993300856
23435,USA 107 (DSP 17),1260,blue,US,-9.702920476447616,264.5376452227838
23435,USA 107 (DSP 17),1439,blue,US,-0.7609375732354238,263.6786814938549
23467,UFO 4 (USA 108),0,blue,US,-29.370883923351357,172.05409581525416
23467,UFO 4 (USA 108),180,blue,US,-22.355187408422353,172.68632047828564
23467,UFO 4 (USA 108),360,blue,US,-2.4645245561769116,172.5141206671243
23467,UFO 4 (USA 108),540,blue,US,18.556051594234305,171.92940883318118
23467,UFO 4 (USA 108),720,blue,US,28.344803575702826,172.07521312721835
23467,UFO 4 (USA 108),900,blue,US,21.16642811182828,172.5887393041875
23467,UFO 4 (USA 108),1080,blue,US,1.2275155308961985,172.35617139120924
23467,UFO 4 (USA 108),1260,blue,US,-19.765903153405816,171.81266326168145
23467,UFO 4 (USA 108),1439,blue,US,-29.432620469480753,172.0721780521485
23553,AMSC 1,0,gray,Other,11.475281253529829,254.11399387868175
23553,AMSC 1,180,gray,Other,31.347546478420554,253.31992520357466
23553,AMSC 1,360,gray,Other,32.80372133851051,252.9861987146945
23553,AMSC 1,540,gray,Other,15.009927527229593,253.68780029896044
23553,AMSC 1,720,gray,Other,-11.577999028399063,253.9329262234674
23553,AMSC 1,900,gray,Other,-31.327358106202155,253.23121682107913
23553,AMSC 1,1080,gray,Other,-32.58880830344424,253.05407255605053
23553,AMSC 1,1260,gray,Other,-14.599575483043736,253.8697222772111
23553,AMSC 1,1439,gray,Other,11.881366485060425,254.10628293744787
23613,TDRS 7,0,blue,US,-109.07093975090538,84.54841406033728
23613,TDRS 7,180,blue,US,-123.15706591889466,84.11490215226627
23613,TDRS 7,360,blue,US,-64.34719285570463,85.40103519083716
23613,TDRS 7,540,blue,US,32.3754842018825,86.09663737972214
23613,TDRS 7,720,blue,US,109.92863423901872,84.87407549722708
23613,TDRS 7,900,blue,US,123.00416512743686,83.94268756010722
23613,TDRS 7,1080,blue,US,64.03593250718404,84.80065555996812
23613,TDRS 7,1260,blue,US,-32.602399541538034,85.42899996666583
23613,TDRS 7,1439,blue,US,-109.85223151907121,84.52883065029816
23628,USA 113,0,blue,US,-3.964465323384502,103.70493776880915
23628,USA 113,180,blue,US,-7.466473471169593,103.12337810640976
23628,USA 113,360,blue,US,-6.9784863985696575,103.7051146316208
23628,USA 113,540,blue,US,-2.763845149296685,104.30476450425789
23628,USA 113,720,blue,US,2.68953892589343,103.73283909250551
23628,USA 113,900,blue,US,6.165575824212283,103.13875340621385
23628,USA 113,1080,blue,US,5.643006959166087,103.70089135058848
23628,USA 113,1260,blue,US,1.4537924777177977,104.27171081631283
