id,name,dt,color,operator,altRelGEO,lon
23435,USA 107 (DSP 17),540,gray,other,9.56305277379579,264.489447450927
23435,USA 107 (DSP 17),720,gray,other,0.646231874990917,263.618369755082
23435,USA 107 (DSP 17),900,gray,other,-8.74072096189047,262.62154424818
23435,USA 107 (DSP 17),1080,gray,other,-13.0451989439898,263.510399933009
23435,USA 107 (DSP 17),1260,gray,other,-9.70292047644762,264.537645222784
23435,USA 107 (DSP 17),1439,gray,other,-0.760937573235424,263.678681493855
23467,UFO 4 (USA 108),0,gray,other,-29.3708839233514,172.054095815254
23467,UFO 4 (USA 108),180,gray,other,-22.3551874084224,172.686320478286
23467,UFO 4 (USA 108),360,gray,other,-2.46452455617691,172.514120667124
23467,UFO 4 (USA 108),540,gray,other,18.5560515942343,171.929408833181
23467,UFO 4 (USA 108),720,gray,other,28.3448035757028,172.075213127218
23467,UFO 4 (USA 108),900,gray,other,21.1664281118283,172.588739304188
23467,UFO 4 (USA 108),1080,gray,other,1.2275155308962,172.356171391209
23467,UFO 4 (USA 108),1260,gray,other,-19.7659031534058,171.812663261681
23467,UFO 4 (USA 108),1439,gray,other,-29.4326204694808,172.072178052149
23553,AMSC 1,0,gray,other,11.4752812535298,254.113993878682
23553,AMSC 1,180,gray,other,31.3475464784206,253.319925203575
23553,AMSC 1,360,gray,other,32.8037213385105,252.986198714694
23553,AMSC 1,540,gray,other,15.0099275272296,253.68780029896
23553,AMSC 1,720,gray,other,-11.5779990283991,253.932926223467
23553,AMSC 1,900,gray,other,-31.3273581062022,253.231216821079
23553,AMSC 1,1080,gray,other,-32.5888083034442,253.054072556051
23553,AMSC 1,1260,gray,other,-14.5995754830437,253.869722277211
23553,AMSC 1,1439,gray,other,11.8813664850604,254.106282937448
23613,TDRS 7,0,gray,other,-109.070939750905,84.5484140603373
23613,TDRS 7,180,gray,other,-123.157065918895,84.1149021522663
23613,TDRS 7,360,gray,other,-64.3471928557046,85.4010351908372
23613,TDRS 7,540,gray,other,32.3754842018825,86.0966373797221
23613,TDRS 7,720,gray,other,109.928634239019,84.8740754972271
23613,TDRS 7,900,gray,other,123.004165127437,83.9426875601072
23613,TDRS 7,1080,gray,other,64.035932507184,84.8006555599681
23613,TDRS 7,1260,gray,other,-32.602399541538,85.4289999666658
23613,TDRS 7,1439,gray,other,-109.852231519071,84.5288306502982
23628,USA 113,0,gray,other,-3.9644653233845,103.704937768809
23628,USA 113,180,gray,other,-7.46647347116959,103.12337810641
23628,USA 113,360,gray,other,-6.97848639856966,103.705114631621
23628,USA 113,540,gray,other,-2.76384514929669,104.304764504258
23628,USA 113,720,gray,other,2.68953892589343,103.732839092506
23628,USA 113,900,gray,other,6.16557582421228,103.138753406214
23628,USA 113,1080,gray,other,5.64300695916609,103.700891350588
23628,USA 113,1260,gray,other,1.4537924777178,104.271710816313
23628,USA 113,1439,gray,other,-3.91435115294007,103.698250062741
23712,USA 115 (MILSTAR-1 2),0,gray,other,38.9725090966822,256.537298212836
23712,USA 115 (MILSTAR-1 2),180,gray,other,43.9321266846382,255.401258725155
23712,USA 115 (MILSTAR-1 2),360,gray,other,47.3958687413397,255.477340093833
23712,USA 115 (MILSTAR-1 2),540,gray,other,47.3585984448291,256.485946684445
23712,USA 115 (MILSTAR-1 2),720,gray,other,43.8384138884867,256.234676471322
23712,USA 115 (MILSTAR-1 2),900,gray,other,38.8742326221254,255.099939615058
23712,USA 115 (MILSTAR-1 2),1080,gray,other,35.3849443788713,255.203097788292
23712,USA 115 (MILSTAR-1 2),1260,gray,other,35.4472859598609,256.237676416325
23712,USA 115 (MILSTAR-1 2),1439,gray,other,38.9939778788103,256.001467131939
